Date,Invoice_ID,Customer_ID,Customer_Age_Group,Gender,State,Product_Category,Product_Name,Season,Unit_Price,Quantity_Sold,Total_Sales,Payment_Method,Sales_Channel,Promo_Code_Used,Discount_Amount,Net_Sales
6/3/2025,INV100022,CUST8491,36-45,Male,Selangor,Footwear,Sandals,Normal,199.72,1,199.72,Cash,In-Store,No,0,199.72
3/9/2025,INV100023,CUST6718,18-25,Male,Sarawak,Accessories,Handbag,Normal,98.87,5,494.35,E-Wallet (TnG),Online,No,0,494.35
12/6/2025,INV100024,CUST2697,26-35,Female,Kuala Lumpur,Tops,Linen Tunic,Merdeka,47.98,3,143.94,Credit Card,Shopee,Yes,35.94,108
5/16/2025,INV100025,CUST9280,46-60,Female,Selangor,Tops,Linen Tunic,Hari Raya,169.28,1,169.28,Cash,Shopee,Yes,33.67,135.61
5/15/2025,INV100026,CUST3647,46-60,Others,Perak,Hijabs,Silk Hijab,New Year,33.54,2,67.08,Cash,Shopee,Yes,24.34,42.739999999999995
1/22/2025,INV100027,CUST6050,36-45,Male,Sarawak,Bottoms,Palazzo Pants,Chinese New Year,140.05,3,420.15000000000003,E-Wallet (GrabPay),In-Store,Yes,43.91,376.24
4/1/2025,INV100028,CUST7755,18-25,Male,Sarawak,Footwear,Sandals,Year End,165.93,3,497.79,Credit Card,Online,No,0,497.79
1/20/2025,INV100029,CUST8711,26-35,Male,Negeri Sembilan,Accessories,Scarf,Chinese New Year,60.13,2,120.26,E-Wallet (GrabPay),Shopee,No,0,120.26
2/5/2025,INV100030,CUST5573,36-45,Others,Perak,Hijabs,Cotton Hijab,New Year,40.76,3,122.28,Credit Card,Shopee,Yes,9.88,112.4
8/11/2025,INV100031,CUST6663,36-45,Female,Kuala Lumpur,Footwear,Sandals,Chinese New Year,65.85,4,263.4,Cash,In-Store,No,0,263.4
8/9/2025,INV100032,CUST2146,36-45,Others,Sarawak,Tops,Linen Tunic,Ramadan,111.28,4,445.12,E-Wallet (TnG),Instagram,No,0,445.12
10/11/2025,INV100033,CUST3085,26-35,Female,Perak,Bottoms,Palazzo Pants,Normal,122.44,4,489.76,Cash,Shopee,No,0,489.76
4/18/2025,INV100034,CUST8043,36-45,Female,Negeri Sembilan,Footwear,Sandals,Chinese New Year,112.01,2,224.02,Cash,Shopee,No,0,224.02
2/17/2025,INV100035,CUST4848,36-45,Male,Johor,Bottoms,Batik Skirt,New Year,64.07,4,256.28,Cash,Instagram,No,0,256.28
11/19/2025,INV100036,CUST4185,46-60,Female,Perak,Bottoms,Batik Skirt,Normal,138.09,1,138.09,Cash,Instagram,Yes,12.91,125.18
12/23/2025,INV100037,CUST9486,46-60,Male,Johor,Tops,Cotton Shirt,Chinese New Year,164.25,5,821.25,E-Wallet (TnG),Instagram,No,0,821.25
10/8/2025,INV100038,CUST8305,26-35,Others,Negeri Sembilan,Footwear,Sneakers,Normal,155.32,3,465.96,E-Wallet (GrabPay),In-Store,No,0,465.96
8/14/2025,INV100039,CUST2269,36-45,Male,Sabah,Accessories,Scarf,Merdeka,34.5,2,69,Credit Card,Instagram,Yes,36.79,32.21
2/2/2025,INV100040,CUST7797,46-60,Female,Negeri Sembilan,Footwear,Heels,Chinese New Year,169.92,4,679.68,Cash,Instagram,No,0,679.68
1/4/2025,INV100041,CUST6763,36-45,Female,Perak,Hijabs,Printed Hijab,Year End,118.3,5,591.5,Credit Card,Instagram,Yes,17.28,574.22
9/6/2025,INV100042,CUST1475,46-60,Female,Perak,Bottoms,Slim Fit Jeans,Normal,185.52,5,927.6,Cash,Instagram,Yes,8.78,918.82
8/8/2025,INV100043,CUST3223,46-60,Male,Selangor,Accessories,Scarf,Ramadan,58.1,3,174.3,E-Wallet (TnG),Instagram,No,0,174.3
8/4/2025,INV100044,CUST5133,18-25,Female,Selangor,Hijabs,Silk Hijab,Ramadan,60.36,1,60.36,Cash,Online,Yes,13.97,46.39
1/11/2025,INV100045,CUST3496,26-35,Male,Negeri Sembilan,Tops,Linen Tunic,Chinese New Year,103.71,3,311.13,E-Wallet (TnG),In-Store,Yes,40,271.13
3/25/2025,INV100046,CUST6096,18-25,Others,Selangor,Accessories,Bangles,Normal,141.92,4,567.68,E-Wallet (GrabPay),In-Store,Yes,31.64,536.04
11/18/2025,INV100047,CUST4978,18-25,Others,Sabah,Hijabs,Silk Hijab,Normal,163.32,5,816.5999999999999,Cash,Shopee,No,0,816.5999999999999
12/5/2025,INV100048,CUST7071,18-25,Others,Sarawak,Tops,Cotton Shirt,Hari Raya,39,3,117,E-Wallet (GrabPay),In-Store,No,0,117
4/1/2025,INV100049,CUST9548,36-45,Others,Negeri Sembilan,Footwear,Sneakers,Year End,126.65,3,379.95000000000005,Credit Card,Online,No,0,379.95000000000005
8/19/2025,INV100050,CUST4995,46-60,Others,Perak,Accessories,Handbag,Hari Raya,173.17,2,346.34,E-Wallet (GrabPay),In-Store,No,0,346.34
5/13/2025,INV100051,CUST6576,36-45,Others,Sabah,Hijabs,Silk Hijab,Merdeka,190.65,1,190.65,Credit Card,Instagram,No,0,190.65
10/12/2025,INV100052,CUST4937,46-60,Others,Negeri Sembilan,Footwear,Heels,Normal,36.75,2,73.5,E-Wallet (GrabPay),In-Store,No,0,73.5
12/6/2025,INV100053,CUST7046,46-60,Others,Sarawak,Footwear,Sandals,Merdeka,79.54,4,318.16,E-Wallet (TnG),Shopee,No,0,318.16
4/29/2025,INV100054,CUST2976,26-35,Female,Kuala Lumpur,Hijabs,Printed Hijab,Chinese New Year,54.48,4,217.92,E-Wallet (TnG),Shopee,Yes,42.47,175.45
6/1/2025,INV100055,CUST4727,36-45,Male,Sabah,Tops,Linen Tunic,Normal,116.14,3,348.42,Cash,Online,No,0,348.42
12/24/2025,INV100056,CUST3068,46-60,Male,Selangor,Hijabs,Cotton Hijab,Hari Raya,106.17,3,318.51,Credit Card,Online,No,0,318.51
9/2/2025,INV100057,CUST2869,18-25,Female,Negeri Sembilan,Tops,Linen Tunic,Normal,133.3,1,133.3,Credit Card,In-Store,No,0,133.3
2/13/2025,INV100058,CUST5066,18-25,Others,Perak,Hijabs,Printed Hijab,Merdeka,60.62,5,303.09999999999997,E-Wallet (GrabPay),Instagram,No,0,303.09999999999997
6/2/2025,INV100059,CUST8025,36-45,Others,Selangor,Hijabs,Printed Hijab,Normal,37.86,2,75.72,Credit Card,Shopee,Yes,12.07,63.65
3/30/2025,INV100060,CUST2229,26-35,Male,Perak,Footwear,Sandals,Normal,126.89,3,380.67,Cash,In-Store,No,0,380.67
12/28/2025,INV100061,CUST5632,46-60,Male,Johor,Accessories,Bangles,Merdeka,139.01,2,278.02,E-Wallet (GrabPay),Online,Yes,34.14,243.88
5/17/2025,INV100062,CUST3330,18-25,Male,Penang,Accessories,Bangles,Year End,168.36,3,505.08000000000004,E-Wallet (GrabPay),Online,No,0,505.08000000000004
12/19/2025,INV100063,CUST5982,46-60,Female,Negeri Sembilan,Footwear,Heels,Merdeka,27.17,4,108.68,E-Wallet (TnG),Shopee,Yes,9.11,99.57000000000001
12/12/2025,INV100064,CUST1339,36-45,Others,Selangor,Bottoms,Slim Fit Jeans,Merdeka,137.27,3,411.81000000000006,Credit Card,Instagram,No,0,411.81000000000006
2/16/2025,INV100065,CUST8700,36-45,Female,Sarawak,Accessories,Bangles,New Year,174.39,3,523.17,E-Wallet (GrabPay),Instagram,No,0,523.17
12/6/2025,INV100066,CUST7561,18-25,Female,Kuala Lumpur,Accessories,Scarf,Ramadan,40.87,4,163.48,Cash,Instagram,No,0,163.48
1/28/2025,INV100067,CUST4073,36-45,Others,Negeri Sembilan,Footwear,Heels,Chinese New Year,68.07,2,136.14,E-Wallet (TnG),Instagram,No,0,136.14
3/4/2025,INV100068,CUST1472,26-35,Others,Penang,Accessories,Bangles,Normal,22.46,4,89.84,Cash,In-Store,Yes,25.77,64.07000000000001
3/2/2025,INV100069,CUST3522,46-60,Others,Sabah,Hijabs,Printed Hijab,Normal,69.22,4,276.88,E-Wallet (GrabPay),In-Store,No,0,276.88
10/10/2025,INV100070,CUST3369,46-60,Male,Penang,Tops,Cotton Shirt,Normal,159.08,4,636.32,E-Wallet (TnG),Shopee,Yes,17.73,618.59
6/2/2025,INV100071,CUST9022,26-35,Female,Negeri Sembilan,Accessories,Scarf,Normal,119.35,5,596.75,E-Wallet (GrabPay),Instagram,No,0,596.75
4/7/2025,INV100072,CUST4912,46-60,Male,Perak,Tops,Cotton Shirt,Year End,105.14,4,420.56,E-Wallet (GrabPay),In-Store,No,0,420.56
1/19/2025,INV100073,CUST3068,36-45,Male,Negeri Sembilan,Tops,Linen Tunic,Hari Raya,22.76,2,45.52,E-Wallet (GrabPay),In-Store,Yes,26.13,19.390000000000004
5/16/2025,INV100074,CUST6546,46-60,Others,Kuala Lumpur,Accessories,Bangles,Merdeka,88.4,3,265.20000000000005,E-Wallet (GrabPay),Online,Yes,15.56,249.64000000000004
12/17/2025,INV100075,CUST5708,26-35,Others,Kuala Lumpur,Footwear,Heels,Year End,146.7,1,146.7,E-Wallet (GrabPay),In-Store,No,0,146.7
1/15/2025,INV100076,CUST1753,36-45,Male,Sabah,Accessories,Scarf,Hari Raya,46.2,5,231,E-Wallet (GrabPay),In-Store,Yes,12.88,218.12
11/9/2025,INV100077,CUST7267,26-35,Female,Penang,Bottoms,Slim Fit Jeans,Normal,134.82,4,539.28,E-Wallet (TnG),Online,No,0,539.28
5/28/2025,INV100078,CUST9955,26-35,Male,Negeri Sembilan,Accessories,Bangles,Ramadan,135.01,4,540.04,E-Wallet (TnG),Instagram,No,0,540.04
4/12/2025,INV100079,CUST7302,46-60,Male,Johor,Footwear,Sandals,Ramadan,123.47,3,370.40999999999997,Cash,Instagram,No,0,370.40999999999997
1/5/2025,INV100080,CUST1803,46-60,Female,Johor,Hijabs,Cotton Hijab,Chinese New Year,134.59,5,672.95,E-Wallet (TnG),In-Store,Yes,45.65,627.3000000000001
11/27/2025,INV100081,CUST1645,36-45,Female,Selangor,Hijabs,Cotton Hijab,Normal,151.82,1,151.82,E-Wallet (TnG),Shopee,No,0,151.82
3/31/2025,INV100082,CUST4289,26-35,Others,Sarawak,Hijabs,Printed Hijab,Normal,184.43,2,368.86,E-Wallet (TnG),Instagram,No,0,368.86
6/23/2025,INV100083,CUST2886,46-60,Male,Penang,Bottoms,Palazzo Pants,Normal,150.36,4,601.44,E-Wallet (TnG),Online,No,0,601.44
1/8/2025,INV100084,CUST5332,18-25,Female,Sarawak,Accessories,Bangles,Hari Raya,168.04,3,504.12,Cash,In-Store,No,0,504.12
1/13/2025,INV100085,CUST6374,26-35,Others,Kuala Lumpur,Footwear,Sandals,Ramadan,136.86,1,136.86,Credit Card,Online,Yes,18.7,118.16000000000001
9/10/2025,INV100086,CUST2902,18-25,Male,Penang,Footwear,Sneakers,Normal,86.78,5,433.9,E-Wallet (GrabPay),In-Store,No,0,433.9
12/2/2025,INV100087,CUST2622,46-60,Others,Perak,Accessories,Handbag,Year End,86.7,4,346.8,E-Wallet (GrabPay),In-Store,No,0,346.8
2/20/2025,INV100088,CUST7018,36-45,Male,Perak,Accessories,Handbag,New Year,190.82,4,763.28,Cash,In-Store,Yes,7.28,756
6/20/2025,INV100089,CUST4990,26-35,Others,Johor,Tops,Linen Tunic,Normal,57.29,2,114.58,Credit Card,Shopee,Yes,40.49,74.09
11/2/2025,INV100090,CUST1046,36-45,Male,Penang,Hijabs,Cotton Hijab,Normal,163.73,1,163.73,Cash,In-Store,Yes,21.12,142.60999999999999
5/2/2025,INV100091,CUST6304,18-25,Male,Sabah,Tops,Floral Blouse,Year End,95.77,1,95.77,Cash,Instagram,No,0,95.77
7/5/2025,INV100092,CUST9408,18-25,Female,Johor,Hijabs,Silk Hijab,Normal,150.9,5,754.5,E-Wallet (TnG),Instagram,Yes,7.74,746.76
9/3/2025,INV100093,CUST7580,46-60,Others,Kuala Lumpur,Footwear,Sandals,Normal,183.75,1,183.75,Cash,Shopee,Yes,7.96,175.79
5/21/2025,INV100094,CUST9984,36-45,Female,Sabah,Footwear,Sandals,Merdeka,97.44,1,97.44,Credit Card,Instagram,No,0,97.44
4/27/2025,INV100095,CUST7779,36-45,Female,Perak,Footwear,Sandals,New Year,76.26,3,228.78000000000003,E-Wallet (TnG),Shopee,Yes,35.91,192.87000000000003
8/31/2025,INV100096,CUST2099,18-25,Male,Kuala Lumpur,Footwear,Heels,Year End,152.98,2,305.96,Cash,Shopee,Yes,23.49,282.46999999999997
12/7/2025,INV100097,CUST7929,18-25,Female,Sabah,Accessories,Handbag,Merdeka,111.33,2,222.66,E-Wallet (GrabPay),In-Store,Yes,20.76,201.9
10/12/2025,INV100098,CUST7022,18-25,Female,Johor,Footwear,Sandals,Normal,195.42,5,977.0999999999999,Cash,Shopee,Yes,13.12,963.9799999999999
12/26/2025,INV100099,CUST6062,36-45,Female,Selangor,Bottoms,Batik Skirt,Merdeka,138.32,1,138.32,Credit Card,Online,Yes,38.58,99.74
4/21/2025,INV100100,CUST7163,46-60,Female,Sarawak,Bottoms,Slim Fit Jeans,Ramadan,149.89,5,749.4499999999999,Cash,Online,Yes,12.08,737.3699999999999
11/13/2025,INV100101,CUST1815,18-25,Female,Negeri Sembilan,Footwear,Sneakers,Normal,129.27,4,517.08,E-Wallet (TnG),In-Store,Yes,20.53,496.55000000000007
2/26/2025,INV100102,CUST5640,46-60,Others,Sabah,Tops,Floral Blouse,Hari Raya,197.2,1,197.2,Cash,In-Store,No,0,197.2
4/19/2025,INV100103,CUST3248,36-45,Female,Sarawak,Tops,Floral Blouse,Hari Raya,154.46,2,308.92,Credit Card,Instagram,Yes,27.51,281.41
12/9/2025,INV100104,CUST6802,18-25,Female,Selangor,Footwear,Heels,Hari Raya,185.81,3,557.4300000000001,E-Wallet (GrabPay),Instagram,No,0,557.4300000000001
5/29/2025,INV100105,CUST2887,46-60,Male,Sarawak,Bottoms,Palazzo Pants,Hari Raya,169.76,3,509.28,Cash,Instagram,Yes,15.95,493.33
10/29/2025,INV100106,CUST7560,18-25,Female,Sabah,Accessories,Handbag,Normal,79.95,2,159.9,Cash,Online,Yes,45.77,114.13
6/28/2025,INV100107,CUST6752,26-35,Male,Kuala Lumpur,Bottoms,Slim Fit Jeans,Normal,55.51,5,277.55,Credit Card,Online,Yes,47.81,229.74
11/18/2025,INV100108,CUST9095,46-60,Others,Negeri Sembilan,Hijabs,Printed Hijab,Normal,134.35,5,671.75,E-Wallet (TnG),Shopee,Yes,24.79,646.96
8/29/2025,INV100109,CUST8245,36-45,Female,Selangor,Accessories,Bangles,New Year,75.87,4,303.48,Cash,Online,No,0,303.48
5/27/2025,INV100110,CUST2257,18-25,Others,Perak,Footwear,Sandals,Merdeka,191.76,1,191.76,E-Wallet (GrabPay),In-Store,No,0,191.76
11/6/2025,INV100111,CUST8792,26-35,Male,Negeri Sembilan,Tops,Cotton Shirt,Normal,196.83,1,196.83,Credit Card,Online,Yes,36.84,159.99
8/13/2025,INV100112,CUST9586,26-35,Female,Sarawak,Accessories,Scarf,Hari Raya,159.4,5,797,Cash,Shopee,Yes,19.84,777.16
10/13/2025,INV100113,CUST7333,36-45,Female,Penang,Accessories,Handbag,Normal,124.89,2,249.78,E-Wallet (TnG),Shopee,No,0,249.78
3/8/2025,INV100114,CUST2388,36-45,Others,Perak,Accessories,Handbag,Normal,140.62,5,703.1,Cash,Instagram,No,0,703.1
1/10/2025,INV100115,CUST6940,36-45,Male,Johor,Accessories,Scarf,Chinese New Year,60.78,2,121.56,Credit Card,Online,No,0,121.56
2/21/2025,INV100116,CUST9317,18-25,Others,Sarawak,Hijabs,Silk Hijab,Merdeka,87.81,2,175.62,Credit Card,In-Store,No,0,175.62
1/23/2025,INV100117,CUST7731,36-45,Others,Johor,Footwear,Sandals,Ramadan,155.43,4,621.72,Credit Card,In-Store,No,0,621.72
8/29/2025,INV100118,CUST4178,36-45,Others,Negeri Sembilan,Footwear,Sneakers,Hari Raya,110.52,4,442.08,Credit Card,In-Store,Yes,44.29,397.78999999999996
1/27/2025,INV100119,CUST8873,36-45,Others,Kuala Lumpur,Hijabs,Silk Hijab,Ramadan,35.1,2,70.2,E-Wallet (TnG),Instagram,Yes,42.4,27.800000000000004
2/16/2025,INV100120,CUST4637,46-60,Female,Selangor,Footwear,Heels,Hari Raya,110.36,2,220.72,E-Wallet (GrabPay),Online,No,0,220.72
4/25/2025,INV100121,CUST1461,36-45,Male,Sarawak,Bottoms,Batik Skirt,New Year,71.64,4,286.56,Credit Card,Instagram,No,0,286.56
11/12/2025,INV100122,CUST1086,18-25,Male,Sabah,Bottoms,Batik Skirt,Normal,118.78,5,593.9,E-Wallet (GrabPay),Online,No,0,593.9
5/2/2025,INV100123,CUST5934,18-25,Male,Johor,Footwear,Sandals,Merdeka,102.28,1,102.28,E-Wallet (GrabPay),Online,Yes,37.33,64.95
5/30/2025,INV100124,CUST8032,18-25,Others,Sarawak,Bottoms,Palazzo Pants,Hari Raya,53.72,1,53.72,E-Wallet (TnG),Online,Yes,22.57,31.15
8/29/2025,INV100125,CUST1713,46-60,Female,Sabah,Tops,Cotton Shirt,New Year,82.06,1,82.06,E-Wallet (TnG),In-Store,Yes,20.85,61.21
6/23/2025,INV100126,CUST3868,46-60,Others,Negeri Sembilan,Bottoms,Batik Skirt,Normal,31.36,4,125.44,Cash,Shopee,Yes,6.97,118.47
4/13/2025,INV100127,CUST1686,36-45,Female,Perak,Hijabs,Cotton Hijab,Ramadan,26.59,2,53.18,E-Wallet (TnG),Shopee,Yes,43.96,9.219999999999999
6/19/2025,INV100128,CUST5476,18-25,Female,Perak,Footwear,Sandals,Normal,99.15,4,396.6,E-Wallet (TnG),In-Store,No,0,396.6
12/21/2025,INV100129,CUST9151,36-45,Others,Sabah,Tops,Linen Tunic,Hari Raya,34.21,5,171.05,Credit Card,Shopee,No,0,171.05
2/22/2025,INV100130,CUST2311,36-45,Others,Sabah,Accessories,Scarf,Merdeka,149.18,2,298.36,E-Wallet (GrabPay),Shopee,No,0,298.36
1/22/2025,INV100131,CUST6776,46-60,Female,Selangor,Tops,Linen Tunic,Year End,93.12,5,465.6,Credit Card,Online,Yes,43.19,422.41
12/14/2025,INV100132,CUST8179,18-25,Male,Kuala Lumpur,Bottoms,Palazzo Pants,Ramadan,85.19,5,425.95,Cash,In-Store,No,0,425.95
7/9/2025,INV100133,CUST7095,46-60,Male,Penang,Hijabs,Cotton Hijab,Normal,91.65,3,274.95000000000005,Credit Card,Online,Yes,38.11,236.84000000000003
9/13/2025,INV100134,CUST9482,46-60,Others,Kuala Lumpur,Accessories,Scarf,Normal,146.73,2,293.46,E-Wallet (TnG),Instagram,Yes,10.52,282.94
2/7/2025,INV100135,CUST8406,26-35,Others,Negeri Sembilan,Tops,Linen Tunic,Ramadan,140.21,1,140.21,E-Wallet (TnG),Shopee,Yes,37.03,103.18
12/25/2025,INV100136,CUST3852,36-45,Others,Johor,Tops,Floral Blouse,Chinese New Year,62.61,4,250.44,Cash,Shopee,No,0,250.44
8/28/2025,INV100137,CUST3126,18-25,Male,Sabah,Footwear,Sandals,Year End,106.16,4,424.64,E-Wallet (GrabPay),Online,Yes,48.76,375.88
11/25/2025,INV100138,CUST2215,46-60,Female,Sarawak,Bottoms,Palazzo Pants,Normal,135.16,2,270.32,Credit Card,Instagram,Yes,42.41,227.91
9/23/2025,INV100139,CUST3507,36-45,Male,Penang,Accessories,Bangles,Normal,60.58,5,302.9,E-Wallet (TnG),Online,No,0,302.9
4/11/2025,INV100140,CUST5496,26-35,Others,Sabah,Hijabs,Printed Hijab,New Year,110.46,2,220.92,Credit Card,In-Store,No,0,220.92
10/16/2025,INV100141,CUST1674,18-25,Male,Selangor,Hijabs,Cotton Hijab,Normal,137.2,5,686,E-Wallet (GrabPay),Online,No,0,686
11/18/2025,INV100142,CUST9938,36-45,Others,Sabah,Footwear,Heels,Normal,164.84,4,659.36,E-Wallet (TnG),Instagram,Yes,35.99,623.37
3/22/2025,INV100143,CUST8202,46-60,Female,Negeri Sembilan,Bottoms,Slim Fit Jeans,Normal,129.2,3,387.59999999999997,E-Wallet (TnG),Shopee,No,0,387.59999999999997
3/8/2025,INV100144,CUST7070,18-25,Female,Johor,Footwear,Heels,Normal,68.14,2,136.28,Credit Card,Online,Yes,18.06,118.22
7/16/2025,INV100145,CUST7850,26-35,Male,Sarawak,Hijabs,Printed Hijab,Normal,76.29,2,152.58,E-Wallet (GrabPay),Instagram,No,0,152.58
6/7/2025,INV100146,CUST9148,18-25,Male,Perak,Hijabs,Cotton Hijab,Normal,194,2,388,E-Wallet (TnG),Online,Yes,17.66,370.34
11/2/2025,INV100147,CUST8710,36-45,Others,Selangor,Tops,Cotton Shirt,Normal,44.11,3,132.32999999999998,E-Wallet (TnG),Instagram,No,0,132.32999999999998
1/24/2025,INV100148,CUST7563,18-25,Others,Johor,Accessories,Bangles,Ramadan,33.24,5,166.20000000000002,E-Wallet (GrabPay),Shopee,Yes,10.79,155.41000000000003
2/19/2025,INV100149,CUST7453,36-45,Female,Sarawak,Bottoms,Batik Skirt,Merdeka,111.64,5,558.2,Cash,Online,Yes,11.17,547.0300000000001
6/20/2025,INV100150,CUST8761,46-60,Male,Penang,Accessories,Bangles,Normal,77.34,4,309.36,E-Wallet (TnG),Shopee,No,0,309.36
12/29/2025,INV100151,CUST5911,46-60,Male,Sarawak,Accessories,Bangles,New Year,196.38,5,981.9,E-Wallet (TnG),Online,No,0,981.9
5/16/2025,INV100152,CUST4728,18-25,Others,Negeri Sembilan,Bottoms,Palazzo Pants,Year End,149.81,4,599.24,Credit Card,In-Store,Yes,30.77,568.47
12/25/2025,INV100153,CUST2800,26-35,Male,Negeri Sembilan,Accessories,Scarf,Chinese New Year,94.33,2,188.66,E-Wallet (GrabPay),Instagram,Yes,36.76,151.9
9/23/2025,INV100154,CUST4397,36-45,Others,Negeri Sembilan,Hijabs,Cotton Hijab,Normal,76.48,2,152.96,E-Wallet (GrabPay),Shopee,No,0,152.96
12/13/2025,INV100155,CUST5331,46-60,Male,Johor,Accessories,Bangles,Ramadan,60.48,3,181.44,E-Wallet (TnG),In-Store,No,0,181.44
6/12/2025,INV100156,CUST8861,36-45,Others,Sabah,Accessories,Handbag,Normal,123.23,5,616.15,E-Wallet (GrabPay),Instagram,No,0,616.15
3/16/2025,INV100157,CUST5758,18-25,Female,Kuala Lumpur,Accessories,Scarf,Normal,138.07,4,552.28,Credit Card,In-Store,No,0,552.28
10/15/2025,INV100158,CUST5450,26-35,Male,Johor,Bottoms,Batik Skirt,Normal,140.57,5,702.8499999999999,Credit Card,In-Store,Yes,9.51,693.3399999999999
6/19/2025,INV100159,CUST8739,18-25,Others,Penang,Tops,Linen Tunic,Normal,196.02,2,392.04,E-Wallet (GrabPay),Instagram,No,0,392.04
11/30/2025,INV100160,CUST4267,36-45,Female,Sabah,Tops,Floral Blouse,Normal,137.41,2,274.82,Cash,In-Store,No,0,274.82
4/1/2025,INV100161,CUST1595,46-60,Female,Penang,Accessories,Handbag,New Year,73.71,5,368.54999999999995,Cash,Shopee,No,0,368.54999999999995
8/21/2025,INV100162,CUST9901,46-60,Male,Negeri Sembilan,Accessories,Handbag,New Year,79.52,4,318.08,E-Wallet (TnG),In-Store,Yes,38.15,279.93
6/1/2025,INV100163,CUST4164,26-35,Others,Perak,Footwear,Sandals,Normal,79.03,4,316.12,Cash,In-Store,Yes,26.49,289.63
5/8/2025,INV100164,CUST1111,36-45,Female,Johor,Footwear,Sneakers,Ramadan,74.35,5,371.75,Cash,Shopee,No,0,371.75
12/21/2025,INV100165,CUST4871,18-25,Others,Kuala Lumpur,Footwear,Sneakers,Chinese New Year,92.97,5,464.85,E-Wallet (TnG),Online,No,0,464.85
